,Province/State,Country,Lat,Long,Date,Confirmed,Deaths,Recovered,Active
149,,Italy,41.87194,12.56738,1/22/20,0.0,0.0,0.0,0.0
418,,Italy,41.87194,12.56738,1/23/20,0.0,0.0,0.0,0.0
687,,Italy,41.87194,12.56738,1/24/20,0.0,0.0,0.0,0.0
956,,Italy,41.87194,12.56738,1/25/20,0.0,0.0,0.0,0.0
1225,,Italy,41.87194,12.56738,1/26/20,0.0,0.0,0.0,0.0
1494,,Italy,41.87194,12.56738,1/27/20,0.0,0.0,0.0,0.0
1763,,Italy,41.87194,12.56738,1/28/20,0.0,0.0,0.0,0.0
2032,,Italy,41.87194,12.56738,1/29/20,0.0,0.0,0.0,0.0
2301,,Italy,41.87194,12.56738,1/30/20,0.0,0.0,0.0,0.0
2570,,Italy,41.87194,12.56738,1/31/20,2.0,0.0,0.0,2.0
2839,,Italy,41.87194,12.56738,2/1/20,2.0,0.0,0.0,2.0
3108,,Italy,41.87194,12.56738,2/2/20,2.0,0.0,0.0,2.0
3377,,Italy,41.87194,12.56738,2/3/20,2.0,0.0,0.0,2.0
3646,,Italy,41.87194,12.56738,2/4/20,2.0,0.0,0.0,2.0
3915,,Italy,41.87194,12.56738,2/5/20,2.0,0.0,0.0,2.0
4184,,Italy,41.87194,12.56738,2/6/20,2.0,0.0,0.0,2.0
4453,,Italy,41.87194,12.56738,2/7/20,3.0,0.0,0.0,3.0
4722,,Italy,41.87194,12.56738,2/8/20,3.0,0.0,0.0,3.0
4991,,Italy,41.87194,12.56738,2/9/20,3.0,0.0,0.0,3.0
5260,,Italy,41.87194,12.56738,2/10/20,3.0,0.0,0.0,3.0
5529,,Italy,41.87194,12.56738,2/11/20,3.0,0.0,0.0,3.0
5798,,Italy,41.87194,12.56738,2/12/20,3.0,0.0,0.0,3.0
6067,,Italy,41.87194,12.56738,2/13/20,3.0,0.0,0.0,3.0
6336,,Italy,41.87194,12.56738,2/14/20,3.0,0.0,0.0,3.0
6605,,Italy,41.87194,12.56738,2/15/20,3.0,0.0,0.0,3.0
6874,,Italy,41.87194,12.56738,2/16/20,3.0,0.0,0.0,3.0
7143,,Italy,41.87194,12.56738,2/17/20,3.0,0.0,0.0,3.0
7412,,Italy,41.87194,12.56738,2/18/20,3.0,0.0,0.0,3.0
7681,,Italy,41.87194,12.56738,2/19/20,3.0,0.0,0.0,3.0
7950,,Italy,41.87194,12.56738,2/20/20,3.0,0.0,0.0,3.0
8219,,Italy,41.87194,12.56738,2/21/20,20.0,1.0,0.0,19.0
8488,,Italy,41.87194,12.56738,2/22/20,62.0,2.0,1.0,60.0
8757,,Italy,41.87194,12.56738,2/23/20,155.0,3.0,2.0,152.0
9026,,Italy,41.87194,12.56738,2/24/20,229.0,7.0,1.0,222.0
9295,,Italy,41.87194,12.56738,2/25/20,322.0,10.0,1.0,312.0
9564,,Italy,41.87194,12.56738,2/26/20,453.0,12.0,3.0,441.0
9833,,Italy,41.87194,12.56738,2/27/20,655.0,17.0,45.0,638.0
10102,,Italy,41.87194,12.56738,2/28/20,888.0,21.0,46.0,867.0
10371,,Italy,41.87194,12.56738,2/29/20,1128.0,29.0,46.0,1099.0
10640,,Italy,41.87194,12.56738,3/1/20,1694.0,34.0,83.0,1660.0
10909,,Italy,41.87194,12.56738,3/2/20,2036.0,52.0,149.0,1984.0
11178,,Italy,41.87194,12.56738,3/3/20,2502.0,79.0,160.0,2423.0
11447,,Italy,41.87194,12.56738,3/4/20,3089.0,107.0,276.0,2982.0
11716,,Italy,41.87194,12.56738,3/5/20,3858.0,148.0,414.0,3710.0
11985,,Italy,41.87194,12.56738,3/6/20,4636.0,197.0,523.0,4439.0
12254,,Italy,41.87194,12.56738,3/7/20,5883.0,233.0,589.0,5650.0
12523,,Italy,41.87194,12.56738,3/8/20,7375.0,366.0,622.0,7009.0
12792,,Italy,41.87194,12.56738,3/9/20,9172.0,463.0,724.0,8709.0
13061,,Italy,41.87194,12.56738,3/10/20,10149.0,631.0,724.0,9518.0
13330,,Italy,41.87194,12.56738,3/11/20,12462.0,827.0,1045.0,11635.0
13599,,Italy,41.87194,12.56738,3/12/20,15113.0,1016.0,1045.0,14097.0
13868,,Italy,41.87194,12.56738,3/13/20,17660.0,1266.0,1439.0,16394.0
14137,,Italy,41.87194,12.56738,3/14/20,21157.0,1441.0,1966.0,19716.0
14406,,Italy,41.87194,12.56738,3/15/20,24747.0,1809.0,2335.0,22938.0
14675,,Italy,41.87194,12.56738,3/16/20,27980.0,2158.0,2749.0,25822.0
14944,,Italy,41.87194,12.56738,3/17/20,31506.0,2503.0,2941.0,29003.0
15213,,Italy,41.87194,12.56738,3/18/20,35713.0,2978.0,4025.0,32735.0
15482,,Italy,41.87194,12.56738,3/19/20,41035.0,3405.0,4440.0,37630.0
15751,,Italy,41.87194,12.56738,3/20/20,47021.0,4032.0,4440.0,42989.0
16020,,Italy,41.87194,12.56738,3/21/20,53578.0,4825.0,6072.0,48753.0
16289,,Italy,41.87194,12.56738,3/22/20,59138.0,5476.0,7024.0,53662.0
16558,,Italy,41.87194,12.56738,3/23/20,63927.0,6077.0,7024.0,57850.0
16827,,Italy,41.87194,12.56738,3/24/20,69176.0,6820.0,8326.0,62356.0
